Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
34	rs140248582_3	1	[22..53]	both	1146	1146		100% (32/32)	100% (32/32)		100% (32/32)	38	38	2292			2292		
35	rs140464457	1	[21..46]	both	671	670		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1342			1341		
36	rs140516848	1	[22..47]	both	913	912		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1825			1825		
37	rs140996979	1	[22..50]	both	708	708		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1416			1416		
38	rs142104717	1	[25..47]	both	2952	2956		100% (23/23)	100% (23/23)		100% (23/23)	38	38	5910			5908		
39	rs142197840	1	[23..42]	both	1040	1041		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2083			2082		
40	rs142669819	1	[24..54]	both	890	892		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1785			1783		
41	rs143112700	1	[21..51]	both	222	222		100% (31/31)	100% (31/31)		100% (31/31)	38	38	444			444		
42	rs143385276	1	[25..41]	both	1231	1232		100% (17/17)	100% (17/17)		100% (17/17)	38	38	2464			2463		
43	rs143600464	1	[22..42]	both	1352	1354		100% (21/21)	100% (21/21)		100% (21/21)	38	38	2707			2706		
44	rs145139391	1	[22..50]	both	583	584		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1168			1167		
45	rs145388721	1	[23..46]	both	736	737		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1474			1473		
46	rs145675818	1	[25..51]	both	1223	1223		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2447			2446		
47	rs145984162	1	[26..37]	both	1360	1358		100% (12/12)	100% (12/12)		100% (12/12)	38	38	2719			2718		
48	rs146757417	1	[24..36]	both	1165	1167		100% (13/13)	100% (13/13)		100% (13/13)	38	38	2333			2332		
49	rs147117332	1	[25..51]	both	1063	1066		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2133			2129		
50	rs147307837	1	[25..39]	both	1197	1196		100% (15/15)	100% (15/15)		100% (15/15)	38	38	2394			2393		
51	rs148301364	1	[19..54]	both	198	198		100% (36/36)	100% (36/36)		100% (36/36)	38	38	396			396		
52	rs148738451	1	[21..36]	both	795	796		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1591			1591		
53	rs150042219	1	[23..55]	both	401	402		100% (33/33)	100% (33/33)		100% (33/33)	38	38	805			803		
54	rs150517961	1	[20..49]	both	871	873		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1745			1744		
55	rs199666017	1	[21..44]	both	1032	1032		100% (24/24)	100% (24/24)		100% (24/24)	38	38	2064			2064		
56	rs200580944	1	[26..49]	both	1239	1234		100% (24/24)	100% (24/24)		100% (24/24)	38	38	2474			2473		
57	rs2307510	1	[25..51]	both	754	758		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1516			1512		
58	rs33929686	1	[21..49]	both	1362	1359		100% (29/29)	100% (29/29)		100% (29/29)	38	38	2723			2721		
59	rs33971783_1	1	[21..47]	both	1295	1293		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2589			2588		
60	rs33984666	1	[23..38]	both	812	813		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1626			1625		
61	rs34019706	1	[26..51]	both	798	798		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1597			1596		
62	rs34348160	1	[22..39]	both	1100	1104		100% (18/18)	100% (18/18)		100% (18/18)	38	38	2207			2204		
63	rs34362824	1	[22..50]	both	334	334		100% (29/29)	100% (29/29)		100% (29/29)	38	38	668			668		
64	rs34403392	1	[25..55]	both	307	309		100% (31/31)	100% (31/31)		100% (31/31)	38	38	618			616		
65	rs34447375	1	[21..48]	both	664	663		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1327			1327		
66	rs34633265	1	[23..48]	both	1081	1080		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2164			2161		
67	rs34871161	1	[21..50]	both	281	281		100% (30/30)	100% (30/30)		100% (30/30)	38	38	562			562		
68	rs34963989	1	[21..43]	both	1255	1258		100% (23/23)	100% (23/23)		100% (23/23)	38	38	2514			2513		
69	rs35136242	1	[23..48]	both	542	542		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1084			1084		
70	rs35517521	1	[21..48]	both	1218	1216		100% (28/28)	100% (28/28)		100% (28/28)	38	38	2442			2435		
71	rs35560760	1	[21..43]	both	542	542		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1085			1084		
72	rs35894782	1	[25..55]	both	1013	1014		100% (31/31)	100% (31/31)		100% (31/31)	38	38	2030			2028		
73	rs35908859	1	[22..46]	both	2189	2186		100% (25/25)	100% (25/25)		100% (25/25)	38	38	4381			4376		
74	rs35953083	1	[21..52]	both	956	957		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1914			1913		
75	rs35994305	1	[21..45]	both	874	874		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1748			1748		
76	rs36075704	1	[24..53]	both	850	853		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1706			1703		
77	rs3830531	1	[22..50]	both	1157	1155		100% (29/29)	100% (29/29)		100% (29/29)	38	38	2317			2313		
78	rs3830564	1	[22..46]	both	716	718		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1440			1435		
79	rs3832327	1	[24..51]	both	866	867		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1733			1733		
80	rs3835081	1	[24..52]	both	426	426		100% (29/29)	100% (29/29)		100% (29/29)	38	38	852			852		
81	rs3837653	1	[23..55]	both	419	418		100% (33/33)	100% (33/33)		100% (33/33)	38	38	838			837		
82	rs3996344	1	[21..50]	both	1257	1257		100% (30/30)	100% (30/30)		100% (30/30)	38	38	2514			2514		
83	rs4011697	1	[21..40]	both	629	629		100% (20/20)	100% (20/20)		100% (20/20)	39	38	1258			1258		
84	rs551530547	1	[23..58]	both	1995	1996		100% (36/36)	100% (36/36)		100% (36/36)	37	38	3993			3991		
85	rs558919360	1	[24..48]	both	603	603		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1207			1206		
86	rs56332888	1	[22..51]	both	2587	2586		100% (30/30)	100% (30/30)		100% (30/30)	38	38	5175			5173		
87	rs566321149	1	[21..49]	both	516	516		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1032			1032		
88	rs5792852	1	[23..47]	both	1135	1134		100% (25/25)	100% (25/25)		100% (25/25)	38	38	2270			2269		
89	rs5818539	1	[21..50]	both	908	909		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1820			1818		
90	rs5822997	1	[22..53]	both	525	524		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1050			1049		
91	rs5831737	1	[24..46]	both	956	956		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1912			1912		
92	rs58885234	1	[22..41]	both	990	989		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1980			1979		
93	rs60213525	1	[25..44]	both	1032	1032		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2066			2064		
94	rs6150854	1	[22..50]	both	860	858		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1719			1718		
95	rs66831074	1	[22..47]	both	1673	1696		100% (26/26)	100% (26/26)		100% (26/26)	39	38	3393			3370		
96	rs67190009	1	[22..47]	both	1209	1204		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2417			2413		
97	rs67681048	1	[21..50]	both	1056	1059		100% (30/30)	100% (30/30)		100% (30/30)	38	38	2116			2115		
98	rs67772083	1	[22..53]	both	874	874		100% (32/32)	100% (32/32)		100% (32/32)	36	38	1749			1748		
99	rs68176754	1	[21..51]	both	479	480		100% (31/31)	100% (31/31)		100% (31/31)	38	38	960			959		
100	rs71319520	1	[21..53]	both	993	992		100% (33/33)	100% (33/33)		100% (33/33)	38	38	1986			1985		
101	rs71408504	1	[22..52]	both	1207	1207		100% (31/31)	100% (31/31)		100% (31/31)	38	38	2414			2414		
102	rs71881508	1	[25..47]	both	988	987		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1977			1975		
103	rs71953876	1	[21..48]	both	456	457		100% (28/28)	100% (28/28)		100% (28/28)	38	38	914			913		
104	rs71981297	1	[20..46]	both	660	660		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1320			1320		
105	rs72367817	1	[19..48]	both	385	386		100% (30/30)	100% (30/30)		100% (30/30)	38	38	774			772		
106	rs74513584	1	[23..48]	both	807	812		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1623			1619		
107	rs77268927	1	[23..49]	both	619	619		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1238			1238		
108	rs77354996	1	[24..46]	both	831	831		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1662			1662		
109	rs77776637	1	[23..50]	both	279	280		100% (28/28)	100% (28/28)		100% (28/28)	38	38	559			559		
110	rs79517620_1	1	[26..47]	both	985	984		100% (22/22)	100% (22/22)		100% (22/22)	36	35	1969			1969		
111	rs80303730	1	[23..50]	both	1271	1269		100% (28/28)	100% (28/28)		100% (28/28)	38	38	2542			2540		
