Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
69	rs35136242	1	[23..48]	both	544	544		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1088			1088		
70	rs35517521	1	[21..48]	both	718	718		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1439			1437		
71	rs35560760	1	[21..43]	both	487	485		100% (23/23)	100% (23/23)		100% (23/23)	38	38	974			972		
72	rs35894782	1	[25..55]	both	853	855		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1709			1708		
73	rs35908859	1	[22..46]	both	1856	1854		100% (25/25)	100% (25/25)		100% (25/25)	38	38	3712			3710		
74	rs35953083	1	[21..52]	both	674	674		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1348			1348		
75	rs35994305	1	[21..45]	both	791	792		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1584			1583		
76	rs36075704	1	[24..53]	both	748	749		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1499			1497		
77	rs3830531	1	[22..50]	both	772	773		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1549			1546		
78	rs3830564	1	[22..46]	both	548	549		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1099			1097		
79	rs3832327	1	[24..51]	both	720	720		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1441			1440		
80	rs3835081	1	[24..52]	both	465	466		100% (29/29)	100% (29/29)		100% (29/29)	38	38	931			931		
81	rs3837653	1	[23..55]	both	383	382		100% (33/33)	100% (33/33)		100% (33/33)	38	38	767			765		
82	rs3996344	1	[21..50]	both	821	821		100% (30/30)	100% (30/30)		100% (30/30)	39	39	1642			1642		
83	rs4011697	1	[21..40]	both	519	519		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1039			1038		
84	rs551530547	1	[23..58]	both	1751	1753		100% (36/36)	100% (36/36)		100% (36/36)	39	38	3506			3504		
85	rs558919360	1	[24..48]	both	503	503		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1006			1006		
86	rs56332888	1	[22..51]	both	1895	1897		100% (30/30)	100% (30/30)		100% (30/30)	38	38	3792			3792		
87	rs566321149	1	[21..49]	both	485	485		100% (29/29)	100% (29/29)		100% (29/29)	38	38	970			970		
88	rs5792852	1	[23..47]	both	141	141		100% (25/25)	100% (25/25)		100% (25/25)	38	38	282			282		
89	rs5818539	1	[21..50]	both	637	637		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1274			1274		
90	rs5822997	1	[22..53]	both	501	501		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1003			1002		
91	rs5831737	1	[24..46]	both	684	685		100% (23/23)	100% (23/23)		100% (23/23)	39	38	1369			1369		
92	rs58885234	1	[22..41]	both	849	846		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1698			1695		
93	rs60213525	1	[25..44]	both	905	908		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1818			1813		
94	rs6150854	1	[22..50]	both	843	842		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1685			1685		
95	rs66831074	1	[22..47]	both	1989	2015		100% (26/26)	100% (26/26)		100% (26/26)	38	38	4032			4005		
96	rs67190009	1	[22..47]	both	979	976		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1958			1955		
97	rs67681048	1	[21..50]	both	948	950		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1899			1898		
98	rs67772083	1	[22..53]	both	943	944		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1887			1887		
99	rs68176754	1	[21..51]	both	332	334		100% (31/31)	100% (31/31)		100% (31/31)	38	38	668			666		
100	rs71319520	1	[21..53]	both	981	979		100% (33/33)	100% (33/33)		100% (33/33)	38	38	1962			1960		
101	rs71408504	1	[22..52]	both	1051	1051		100% (31/31)	100% (31/31)		100% (31/31)	38	38	2104			2102		
102	rs71881508	1	[25..47]	both	1177	1178		100% (23/23)	100% (23/23)		100% (23/23)	39	39	2356			2355		
103	rs71953876	1	[21..48]	both	364	365		100% (28/28)	100% (28/28)		100% (28/28)	38	38	729			729		
104	rs71981297	1	[20..46]	both	650	647		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1300			1297		
105	rs72367817	1	[19..48]	both	342	344		100% (30/30)	100% (30/30)		100% (30/30)	38	38	688			686		
106	rs74513584	1	[23..48]	both	693	694		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1388			1387		
107	rs77268927	1	[23..49]	both	468	467		100% (27/27)	100% (27/27)		100% (27/27)	38	38	937			935		
108	rs77354996	1	[24..46]	both	686	686		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1372			1372		
109	rs77776637	1	[23..50]	both	260	261		100% (28/28)	100% (28/28)		100% (28/28)	37	38	521			521		
110	rs79517620_1	1	[26..47]	both	815	814		100% (22/22)	100% (22/22)		100% (22/22)	38	38	1630			1629		
111	rs80303730	1	[23..50]	both	1036	1036		100% (28/28)	100% (28/28)		100% (28/28)	38	38	2073			2072		
