Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
92	rs58885234	1	[22..41]	both	755	754		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1510			1509		
93	rs60213525	1	[25..44]	both	785	785		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1570			1570		
94	rs6150854	1	[22..50]	both	731	730		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1461			1461		
95	rs66831074	1	[22..47]	both	1462	1474		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2947			2937		
96	rs67190009	1	[22..47]	both	1121	1117		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2242			2238		
97	rs67681048	1	[21..50]	both	977	978		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1957			1955		
98	rs67772083	1	[22..53]	both	1169	1170		100% (32/32)	100% (32/32)		100% (32/32)	38	38	2340			2339		
99	rs68176754	1	[21..51]	both	285	287		100% (31/31)	100% (31/31)		100% (31/31)	38	38	574			572		
100	rs71319520	1	[21..53]	both	988	985		100% (33/33)	100% (33/33)		100% (33/33)	38	38	1974			1973		
101	rs71408504	1	[22..52]	both	894	895		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1790			1789		
102	rs71881508	1	[25..47]	both	954	955		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1909			1909		
103	rs71953876	1	[21..48]	both	430	429		100% (28/28)	100% (28/28)		100% (28/28)	38	38	860			859		
104	rs71981297	1	[20..46]	both	539	539		100% (27/27)	100% (27/27)		100% (27/27)	38	39	1081			1079		
105	rs72367817	1	[19..48]	both	286	286		100% (30/30)	100% (30/30)		100% (30/30)	38	38	572			572		
106	rs74513584	1	[23..48]	both	670	671		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1342			1341		
107	rs77268927	1	[23..49]	both	651	649		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1300			1300		
108	rs77354996	1	[24..46]	both	567	566		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1133			1133		
109	rs77776637	1	[23..50]	both	217	217		100% (28/28)	100% (28/28)		100% (28/28)	37	38	434			434		
110	rs79517620_1	1	[26..47]	both	768	768		100% (22/22)	100% (22/22)		100% (22/22)	37	38	1538			1536		
111	rs80303730	1	[23..50]	both	1078	1078		100% (28/28)	100% (28/28)		100% (28/28)	38	38	2156			2156		
